School	Total UC Berkeley Applicants	Total UC Berkeley Applicants Matriculated	First Time Applicants Matriculated	Re-applicants Matriculated
University of California, Davis, School ofMedicine	582	19	16	3
University of California, San Diego School ofMedicine	564	16	13	3
University of California, San Francisco, Schoolof Medicine	550	17	17	0
University of California, Los Angeles DavidGeffen School of Medicine	549	17	17	0
University of California, Irvine, School ofMedicine	541	9	8	1
Keck School of Medicine of the University ofSouthern California	535	29	26	3
Kaiser Permanente Bernard J. Tyson Schoolof Medicine	485	6	5	1
Stanford University School of Medicine	420	5	5	0
University of California, Riverside School ofMedicine	394	2	2	0
Tufts University School of Medicine	392	4	3	1
Georgetown University School of Medicine	379	3	2	1
Boston University School of Medicine	347	6	5	1
California University of Science and Medicine	337	9	4	5
Drexel University College of Medicine	336	3	1	2
Tulane University School of Medicine	333	1	0	1
California Northstate University College ofMedicine	330	10	7	3
George Washington University School ofMedicine and Health Sciences	318	1	1	0
New York Medical College	313	2	1	1
Emory University School of Medicine	305	1	1	0
University of Michigan Medical School	297	3	0	3
Icahn School of Medicine at Mount Sinai	290	1	1	0
Albany Medical College	289	2	1	1
Geisel School of Medicine at Dartmouth	289	1	1	0
University of Colorado School of Medicine	284	6	2	4
Chicago Medical School at Rosalind FranklinUniversity of Medicine & Science	282	4	0	4
Albert Einstein College of Medicine	274	1	1	0
Loyola University Chicago Stritch School ofMedicine	270	11	7	4
Harvard Medical School	261	5	5	0
Columbia University Vagelos College ofPhysicians and Surgeons	258	6	6	0
Case Western Reserve University School ofMedicine	257	9	7	2
Weill Cornell Medicine	255	1	1	0
New York University Grossman School ofMedicine	249	3	3	0
Sidney Kimmel Medical College at ThomasJefferson University	249	1	1	0
Rush Medical College of Rush UniversityMedical Center	247	2	1	1
Oregon Health & Science University School ofMedicine	242	6	6	0
Northwestern University The Feinberg Schoolof Medicine	241	0	0	0
The Warren Alpert Medical School of BrownUniversity	240	1	1	0
Lewis Katz School of Medicine at TempleUniversity	237	2	2	0
Yale School of Medicine	229	2	2	0
University of Washington School of Medicine	225	8	7	1
University of Miami Leonard M. Miller Schoolof Medicine	220	4	4	0
University of Pittsburgh School of Medicine	215	2	2	0
Loma Linda University School of Medicine	204	1	1	0
Saint Louis University School of Medicine	202	5	4	1
Pennsylvania State University College ofMedicine	202	0	0	0
University of Rochester School of Medicineand Dentistry	199	3	3	0
Duke University School of Medicine	199	2	2	0
Perelman School of Medicine at theUniversity of Pennsylvania	199	0	0	0
University of Chicago Division of theBiological Sciences The Pritzker School ofMedicine	196	2	2	0
Robert Larner, M.D., College of Medicine atthe University of Vermont	188	4	3	1
Frank H. Netter MD School of Medicine atQuinnipiac University	187	3	0	3
Medical College of Wisconsin	178	2	2	0
Johns Hopkins University School of Medicine	175	2	2	0
University of Arizona College of Medicine â€“Tucson	171	2	2	0
Donald and Barbara Zucker School ofMedicine at Hofstra/Northwell	167	0	0	0
Wayne State University School of Medicine	166	1	1	0
University of Arizona College of Medicine -Phoenix	162	4	3	1
University of Illinois College of Medicine	162	4	0	4
Ohio State University College of Medicine	159	2	1	1
Washington University in St. Louis School ofMedicine	158	1	0	1
Vanderbilt University School of Medicine	152	2	2	0
Wake Forest School of Medicine of WakeForest Baptist Medical Center	150	2	2	0
Oakland University William Beaumont Schoolof Medicine	149	3	3	0
UCLA/Drew Medical Education Program	148	0	0	0
Mayo Clinic Alix School of Medicine	147	3	3	0
Michigan State University College of HumanMedicine	144	3	2	1
State University of New York DownstateMedical Center College of Medicine	138	0	0	0
Eastern Virginia Medical School	137	0	0	0
Virginia Commonwealth University School ofMedicine	135	3	2	1
Baylor College of Medicine	132	1	1	0
Renaissance School of Medicine at StonyBrook University	132	1	1	0
University of Cincinnati College of Medicine	131	2	2	0
University of Virginia School of Medicine	129	1	1	0
Creighton University School of Medicine	122	2	2	0
University of Wisconsin School of Medicineand Public Health	113	0	0	0
Wright State University Boonshoft School ofMedicine	113	0	0	0
Geisinger Commonwealth School ofMedicine	110	0	0	0
Howard University College of Medicine	110	0	0	0
University of North Carolina at Chapel HillSchool of Medicine	108	1	0	1
New York University Long Island School ofMedicine	106	0	0	0
Hackensack Meridian School of Medicine	102	1	1	0
Virginia Tech Carilion School of Medicine	100	1	0	1
Jacobs School of Medicine and BiomedicalSciences at the University at Buffalo	99	1	0	1
TCU and UNTHSC SOM	99	1	1	0
Indiana University School of Medicine	98	1	0	1
University of Minnesota Medical School	91	2	2	0
Rutgers New Jersey Medical School	91	0	0	0
University of Massachusetts T.H. Chan Schoolof Medicine	84	1	0	1
USF Health Morsani College of Medicine	83	7	4	3
State University of New York Upstate MedicalUniversity	81	0	0	0
Meharry Medical College	80	0	0	0
Rutgers, Robert Wood Johnson MedicalSchool	80	0	0	0
University of Hawaii, John A. Burns School ofMedicine	79	2	1	1
Morehouse School of Medicine	78	1	0	1
Western Michigan University Homer StrykerM.D. School of Medicine	78	1	1	0
The University of Toledo College of Medicineand Life Sciences	78	0	0	0
Nova Southeastern University Dr. Kiran C.Patel College of Allopathic Medicine	77	0	0	0
University of Maryland School of Medicine	77	0	0	0
University of Iowa Roy J. and Lucille A. CarverCollege of Medicine	76	4	2	2
Florida International University HerbertWertheim College of Medicine	75	0	0	0
Cooper Medical School of Rowan University	74	0	0	0
Central Michigan University College ofMedicine	71	0	0	0
Charles E. Schmidt College of Medicine atFlorida Atlantic University	68	0	0	0
Carle Illinois College of Medicine	62	1	1	0
University of Utah School of Medicine	61	0	0	0
University of Central Florida College ofMedicine	57	1	0	1
University of Connecticut School of Medicine	55	0	0	0
Kirk Kerkorian School of Medicine at UNLV	54	1	1	0
Florida State University College of Medicine	50	0	0	0
University of Florida College of Medicine	49	0	0	0
University of Louisville School of Medicine	46	1	0	1
West Virginia University School of Medicine	44	0	0	0
Uniformed Services University of the HealthSciences F. Edward Hebert School ofMedicine	42	3	2	1
Louisiana State University School of Medicinein New Orleans	42	1	1	0
Louisiana State University School of Medicinein Shreveport	42	0	0	0
Northeast Ohio Medical University	41	2	2	0
University of Alabama School of Medicine	38	0	0	0
University of Nevada, Reno School ofMedicine	32	4	3	1
University of Arkansas for Medical SciencesCollege of Medicine	30	0	0	0
UT Southwestern	27	1	1	0
University of Kansas School of Medicine	27	0	0	0
University of Texas Medical School atHouston	26	1	1	0
UT Austin-Dell	26	0	0	0
University of Texas Medical School at SanAntonio	24	2	2	0
University of Missouri-Columbia School ofMedicine	23	1	1	0
University of Kentucky College of Medicine	23	0	0	0
University of South Carolina School ofMedicine Greenville	23	0	0	0
University of Texas Medical Branch	21	1	0	1
Texas A M Univ	21	0	0	0
University of Houston College of Medicine	20	1	1	0
University of North Dakota School ofMedicine and Health Sciences	18	0	0	0
University of South Carolina School ofMedicine	18	0	0	0
Washington State University Elson S. FloydCollege of Medicine	17	1	0	1
Paul L. Foster SOM	17	0	0	0
Texas Tech Univ. Hlth. Sci. Ctr. Sch. ofMedicine	16	1	1	0
Medical University of South Carolina Collegeof Medicine	16	0	0	0
University of Nebraska College of Medicine	16	0	0	0
Joint Medical Program UC B/SF	15	5	5	0
University of Missouri-Kansas City School ofMedicine	15	0	0	0
Marshall University Joan C. Edwards Schoolof Medicine	14	0	0	0
University of Oklahoma College of Medicine	14	0	0	0
UT-Rio Grande SOM	14	0	0	0
Medical College of Georgia at AugustaUniversity	13	1	1	0
East Tennessee State University James H.Quillen College of Medicine	13	0	0	0
University of Tennessee Health ScienceCenter College of Medicine	13	0	0	0
San Juan Bautista School of Medicine	10	0	0	0
University of South Alabama College ofMedicine	9	0	0	0
University of Texas Southwestern MedicalSchool	9	0	0	0
Texas A&M Health Science Center College ofMedicine	8	0	0	0
University of New Mexico School of Medicine	8	0	0	0
University of South Dakota, Sanford School ofMedicine	8	0	0	0
McGovern Medical School at the Universityof Texas Health Science Center at Houston	7	0	0	0
Ponce Health Sciences University School ofMedicine	7	0	0	0
Universidad Central del Caribe School ofMedicine	6	0	0	0
University of Puerto Rico School of Medicine	4	0	0	0
The University of Texas Health ScienceCenter at San Antonio Joe R. and TeresaLozano Long School of Medicine	3	0	0	0
University of Texas Medical Branch School ofMedicine	3	0	0	0
Texas Tech University Health Sciences CenterSchool of Medicine	2	0	0	0
Mercer University School of Medicine	1	0	0	0
